POSICIÓN;PILOTO; AUS_SP; AUS_POS; AUS _FL;AUS_TEAM; MYS_SP; MYS_POS; MYS_FL;MYS_TEAM; BHR_SP; BHR_POS; BHR_FL;BHR_TEAM;ESP_SP; ESP_POS;ESP_FL;ESP_TEAM;MON_SP; MON_POS;MON_FL;MON_TEAM;CAN_SP; CAN_POS;CAN_FL;CAN_TEAM;USA_SP; USA_POS;USA_FL;USA_TEAM;FRA_SP; FRA_POS;FRA_FL;FRA_TEAM;GBR_SP; GBR_POS;GBR_FL;GBR_TEAM;EUR_SP; EUR_POS;EUR_FL;EUR_TEAM;HUN_SP; HUN_POS;HUN_FL;HUN_TEAM;TUR_SP; TUR_POS;TUR_FL;TUR_TEAM;ITA_SP; ITA_POS;ITA_FL;ITA_TEAM;BEL_SP; BEL_POS;BEL_FL;BEL_TEAM;JPN_SP; JPN_POS;JPN_FL;JPN_TEAM;CHN_SP; CHN_POS;CHN_FL;CHN_TEAM;BRA_SP; BRA_POS;BRA_FL;BRA_TEAM
15; Jenson Button;0;15;0;Honda;0;12;0;Honda;0;RET;0;Honda;0;12;0;Honda;0;11;0;Honda;0;RET;0;Honda;0;12;0;Honda;0;8;0;Honda;0;10;0;Honda;0;RET;0;Honda;0;RET;0;Honda;0;13;0;Honda;0;8;0;Honda;0;RET;0;Honda;0;11;0;Honda;0;5;0;Honda;0;RET;0;Honda
16; Ralf Schumacher;0;8;0;Toyota;0;15;0;Toyota;0;12;0;Toyota;0;RET;0;Toyota;0;16;0;Toyota;0;8;0;Toyota;0;RET;0;Toyota;0;10;0;Toyota;0;RET;0;Toyota;0;RET;0;Toyota;0;6;0;Toyota;0;12;0;Toyota;0;15;0;Toyota;0;10;0;Toyota;0;RET;0;Toyota;0;RET;0;Toyota;0;11;0;Toyota
17; Takuma Sat?;0;12;0;Super Aguri;0;13;0;Super Aguri;0;RET;0;Super Aguri;0;8;0;Super Aguri;0;17;0;Super Aguri;0;6;0;Super Aguri;0;RET;0;Super Aguri;0;16;0;Super Aguri;0;14;0;Super Aguri;0;RET;0;Super Aguri;0;15;0;Super Aguri;0;18;0;Super Aguri;0;16;0;Super Aguri;0;15;0;Super Aguri;0;15;0;Super Aguri;0;14;0;Super Aguri;0;12;0;Super Aguri
18; Vitantonio Liuzzi;0;14;0;Toro Rosso;0;17;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;17;0;Toro Rosso;0;RET;0;Toro Rosso;0;16;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;15;0;Toro Rosso;0;17;0;Toro Rosso;0;12;0;Toro Rosso;0;9;0;Toro Rosso;0;6;0;Toro Rosso;0;13;0;Toro Rosso
19; Adrian Sutil;0;17;0;Spyker;0;RET;0;Spyker;0;15;0;Spyker;0;13;0;Spyker;0;RET;0;Spyker;0;RET;0;Spyker;0;14;0;Spyker;0;17;0;Spyker;0;RET;0;Spyker;0;RET;0;Spyker;0;17;0;Spyker;0;21;0;Spyker;0;19;0;Spyker;0;14;0;Spyker;0;8;0;Spyker;0;RET;0;Spyker;0;RET;0;Spyker
20; Rubens Barrichello;0;11;0;Honda;0;11;0;Honda;0;13;0;Honda;0;10;0;Honda;0;10;0;Honda;0;12;0;Honda;0;RET;0;Honda;0;11;0;Honda;0;9;0;Honda;0;11;0;Honda;0;18;0;Honda;0;17;0;Honda;0;10;0;Honda;0;13;0;Honda;0;10;0;Honda;0;15;0;Honda;0;RET;0;Honda
21; Scott Speed;0;RET;0;Toro Rosso;0;14;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;9;0;Toro Rosso;0;RET;0;Toro Rosso;0;13;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;RET;0;Toro Rosso;0;-;0;Toro Rosso;0;-;0;Toro Rosso;0;-;0;Toro Rosso;0;-;0;Toro Rosso;0;-;0;Toro Rosso;0;-;0;Toro Rosso;0;     ;0;Toro Rosso
22; Kazuki Nakajima;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;-;0;Williams;0;10;0;Williams
23; Anthony Davidson;0;16;0;Super Aguri;0;16;0;Super Aguri;0;16;0;Super Aguri;0;11;0;Super Aguri;0;18;0;Super Aguri;0;11;0;Super Aguri;0;11;0;Super Aguri;0;RET;0;Super Aguri;0;RET;0;Super Aguri;0;12;0;Super Aguri;0;RET;0;Super Aguri;0;14;0;Super Aguri;0;14;0;Super Aguri;0;16;0;Super Aguri;0;RET;0;Super Aguri;0;RET;0;Super Aguri;0;14;0;Super Aguri
24; Sakon Yamamoto;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;RET;0;Spyker;0;20;0;Spyker;0;20;0;Spyker;0;17;0;Spyker;0;12;0;Spyker;0;17;0;Spyker;0;RET;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker
25; Christijan Albers;0;RET;0;Spyker;0;RET;0;Spyker;0;14;0;Spyker;0;14;0;Spyker;0;19;0;Spyker;0;RET;0;Spyker;0;15;0;Spyker;0;RET;0;Spyker;0;15;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker
26;Markus Winkelhock;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;RET;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker;0;-;0;Spyker
